"Symbol","Name","Category1","Category2","Category3","Morningstar Category","Morningstar Rating","Market cap","Current yield","Fees","Action"
"CWMAX","American Funds Washington Mutual Investors Fund Class 529-A","US Equity","Broad market","Large cap","Large Blend","3","$113,300,000,000","0.00%","0.63%","Analyze"
"CWMCX","American Funds Washington Mutual Investors Fund Class 529-C","US Equity","Broad market","Large cap","Large Blend","3","$113,300,000,000","0.00%","1.40%","Analyze"
"CWMEX","American Funds Washington Mutual Investors Fund Class 529-E","US Equity","Broad market","Large cap","Large Blend","3","$113,300,000,000","0.00%","0.87%","Analyze"
"CWMFX","American Funds Washington Mutual Investors Fund Class 529-F-1","US Equity","Broad market","Large cap","Large Blend","3","$113,300,000,000","0.00%","0.40%","Analyze"
"FCNTX","Fidelity Contrafund Fund","US Equity","Broad market","Large cap","Large Growth","3","$112,728,420,000","0.00%","0.74%","Analyze"
"AGTHX","American Funds The Growth Fund of America Class A","US Equity","Broad market","Large cap","Large Growth","3","$112,563,980,000","0.38%","0.62%","Analyze"
"AWSHX","American Funds Washington Mutual Investors Fund Class A","US Equity","Broad market","Large cap","Large Blend","3","$72,915,610,000","1.29%","0.57%","Analyze"
"AIVSX","American Funds Investment Company of America Class A","US Equity","Broad market","Large cap","Large Blend","3","$69,839,290,000","1.32%","0.58%","Analyze"
"AMCFX","American Funds AMCAP Fund Class F-2","US Equity","Broad market","Large cap","Large Growth","3","$64,300,000,000","1.09%","0.45%","Analyze"
"CAFAX","American Funds AMCAP Fund Class 529-A","US Equity","Broad market","Large cap","Large Growth","3","$64,300,000,000","0.00%","0.72%","Analyze"
"CAFCX","American Funds AMCAP Fund Class 529-C","US Equity","Broad market","Large cap","Large Growth","3","$64,300,000,000","0.00%","1.49%","Analyze"
"CAFEX","American Funds AMCAP Fund Class 529-E","US Equity","Broad market","Large cap","Large Growth","3","$64,300,000,000","0.00%","0.94%","Analyze"
"CAFFX","American Funds AMCAP Fund Class 529-F-1","US Equity","Broad market","Large cap","Large Growth","3","$64,300,000,000","0.00%","0.49%","Analyze"
"FMACX","American Funds AMCAP Fund Class F-3","US Equity","Broad market","Large cap","Large Growth","3","$64,300,000,000","0.00%","0.34%","Analyze"
"ANCFX","American Funds Fundamental Investors Class A","US Equity","Broad market","Large cap","Large Blend","4","$60,264,800,000","0.84%","0.60%","Analyze"
"AFMFX","American Funds American Mutual Fund Class F-3","US Equity","Broad market","Large cap","Large Value","4","$57,300,000,000","0.58%","0.29%","Analyze"
"AMRFX","American Funds American Mutual Fund Class F-2","US Equity","Broad market","Large cap","Large Value","4","$57,300,000,000","0.66%","0.39%","Analyze"
"CMLAX","American Funds American Mutual Fund Class 529-A","US Equity","Broad market","Large cap","Large Value","4","$57,300,000,000","0.00%","0.65%","Analyze"
"CMLCX","American Funds American Mutual Fund Class 529-C","US Equity","Broad market","Large cap","Large Value","3","$57,300,000,000","0.00%","1.41%","Analyze"
"CMLEX","Proxy Error","US Equity","Broad market","Large cap","Large Value","3","$57,300,000,000","0.00%","0.88%","Analyze"
"CMLFX","Proxy Error","US Equity","Broad market","Large cap","Large Value","4","$57,300,000,000","0.00%","0.41%","Analyze"
"FBGRX","Fidelity Blue Chip Growth Fund","US Equity","Broad market","Large cap","Large Growth","5","$45,850,840,000","0.00%","0.72%","Analyze"
"FDGRX","Fidelity Growth Company","US Equity","Broad market","Large cap","Large Growth","5","$44,667,050,000","0.00%","0.85%","Analyze"
"TRBCX","T. Rowe Price Blue Chip Growth Fund","US Equity","Broad market","Large cap","Large Growth","5","$43,347,420,000","0.00%","0.70%","Analyze"
"EAGRX","First Eagle Global Fund Class R4","US Equity","Broad market","Large cap","Large Growth","4","$41,400,000,000","0.00%","0.97%","Analyze"
"AMRMX","American Funds American Mutual Fund Class A","US Equity","Broad market","Large cap","Large Value","4","$35,793,010,000","1.22%","0.57%","Analyze"
"AMCPX","American Funds AMCAP Fund Class A","US Equity","Broad market","Large cap","Large Growth","3","$34,273,230,000","1.64%","0.68%","Analyze"
"FMAGX","Fidelity Magellan Fund","US Equity","Broad market","Large cap","Large Growth","3","$27,921,630,000","0.00%","0.69%","Analyze"
"FLPSX","Fidelity Low-Priced Stock Fund","US Equity","Broad market","Mid cap","Mid-Cap Value","3","$26,796,760,000","0.00%","0.62%","Analyze"
"DFQTX","DFA U.S. Core Equity II Portfolio Institutional Class","US Equity","Broad market","Large cap","Large Blend","4","$24,500,000,000","0.00%","0.20%","Analyze"
"DFEOX","DFA U.S. Core Equity 1 Portfolio Institutional Class","US Equity","Broad market","Large cap","Large Blend","4","$23,200,000,000","0.00%","0.17%","Analyze"
"FLPKX","Fidelity Low-Priced Stock Fund Class K","US Equity","Broad market","Mid cap","Mid-Cap Value","3","$22,600,000,000","0.00%","0.43%","Analyze"
"HACAX","Harbor Capital Appreciation Fund Institutional Class","US Equity","Broad market","Large cap","Large Growth","4","$21,614,060,000","0.00%","0.66%","Analyze"
